iter	Passed	Remaining
0	14	14492
1	29	14958
2	43	14495
3	58	14471
4	71	14287
5	85	14181
6	99	14128
7	113	14079
8	127	14014
9	140	13891
10	153	13792
11	166	13736
12	180	13715
13	194	13731
14	209	13728
15	222	13675
16	236	13650
17	250	13641
18	265	13686
19	279	13714
20	293	13688
21	307	13656
22	321	13648
23	334	13617
24	349	13629
25	363	13603
26	376	13557
27	389	13532
28	403	13511
29	417	13491
30	431	13475
31	444	13446
32	458	13431
33	471	13407
34	485	13391
35	500	13399
36	516	13438
37	531	13453
38	546	13467
39	561	13469
40	574	13441
41	587	13408
42	601	13396
43	615	13377
44	629	13356
45	642	13329
46	656	13307
47	670	13304
48	684	13294
49	698	13280
50	712	13265
51	726	13253
52	740	13238
53	754	13216
54	768	13205
55	782	13193
56	797	13185
57	810	13170
58	825	13160
59	839	13147
60	853	13131
61	867	13119
62	881	13106
63	894	13088
64	909	13083
65	923	13063
66	936	13044
67	950	13029
68	964	13013
69	978	12998
70	992	12985
71	1005	12965
72	1019	12950
73	1033	12929
74	1046	12908
75	1061	12901
76	1075	12894
77	1091	12899
78	1105	12887
79	1119	12869
80	1133	12858
81	1163	13022
82	1177	13005
83	1190	12987
84	1204	12970
85	1219	12957
86	1232	12937
87	1246	12916
88	1260	12899
89	1274	12888
90	1288	12870
91	1303	12867
92	1318	12858
93	1331	12835
94	1346	12829
95	1360	12812
96	1374	12798
97	1389	12789
98	1404	12778
99	1417	12758
100	1432	12747
101	1445	12726
102	1459	12706
103	1472	12686
104	1487	12678
105	1502	12673
106	1518	12669
107	1532	12659
108	1547	12647
109	1560	12625
110	1572	12590
111	1586	12575
112	1599	12553
113	1613	12542
114	1627	12523
115	1641	12509
116	1655	12492
117	1670	12484
118	1684	12471
119	1698	12456
120	1713	12444
121	1726	12426
122	1739	12404
123	1753	12386
124	1767	12371
125	1781	12356
126	1794	12338
127	1808	12319
128	1822	12305
129	1836	12291
130	1850	12274
131	1864	12260
132	1877	12241
133	1891	12220
134	1904	12201
135	1918	12187
136	1934	12183
137	1950	12180
138	1964	12169
139	1978	12154
140	1992	12137
141	2005	12119
142	2018	12099
143	2032	12082
144	2046	12067
145	2060	12051
146	2073	12034
147	2087	12015
148	2100	11997
149	2114	11984
150	2128	11966
151	2142	11951
152	2155	11932
153	2168	11914
154	2182	11895
155	2195	11879
156	2210	11869
157	2225	11857
158	2238	11840
159	2252	11825
160	2265	11804
161	2278	11787
162	2292	11773
163	2305	11754
164	2320	11742
165	2334	11729
166	2348	11714
167	2362	11699
168	2376	11686
169	2389	11668
170	2403	11651
171	2417	11636
172	2430	11619
173	2443	11601
174	2457	11587
175	2472	11575
176	2487	11568
177	2503	11561
178	2519	11555
179	2532	11536
180	2545	11518
181	2560	11506
182	2574	11494
183	2589	11482
184	2603	11468
185	2616	11452
186	2629	11433
187	2642	11415
188	2656	11398
189	2670	11385
190	2683	11367
191	2697	11351
192	2710	11333
193	2724	11320
194	2739	11307
195	2753	11293
196	2767	11278
197	2781	11266
198	2795	11250
199	2809	11236
200	2823	11223
201	2837	11209
202	2851	11193
203	2865	11179
204	2878	11163
205	2892	11148
206	2906	11133
207	2920	11119
208	2933	11102
209	2947	11088
210	2961	11072
211	2974	11056
212	2988	11040
213	3001	11024
214	3015	11011
215	3029	10995
216	3043	10980
217	3057	10966
218	3074	10964
219	3092	10965
220	3108	10958
221	3126	10957
222	3140	10942
223	3153	10925
