iter	Logloss
0	0.6925571717
1	0.6919712324
2	0.691387139
3	0.6908041606
4	0.6902176096
5	0.6896370602
6	0.6890544383
7	0.6884683552
8	0.6878875522
9	0.6873160955
10	0.6867358241
11	0.6861644812
12	0.6855990828
13	0.6850258675
14	0.6844622802
15	0.6838989503
16	0.6833386469
17	0.6827687458
18	0.6821940126
19	0.6816371233
20	0.6810745766
21	0.6805174637
22	0.6799519122
23	0.6793934579
24	0.6788508244
25	0.6782967828
26	0.6777486951
27	0.6771861341
28	0.6766302297
29	0.6760756478
30	0.6755188979
31	0.6749817429
32	0.6744464752
33	0.6739015029
34	0.6733593381
35	0.6728250101
36	0.6722907766
37	0.6717520281
38	0.6712105246
39	0.6706681992
40	0.6701380681
41	0.6695965237
42	0.6690564947
43	0.6685275025
44	0.6679986433
45	0.667466503
46	0.6669438024
47	0.6664139205
48	0.6658956257
49	0.6653764493
50	0.6648460857
51	0.6643169374
52	0.663791798
53	0.6632721327
54	0.6627501909
55	0.6622325457
56	0.6617204809
57	0.6612148978
58	0.6607018008
59	0.6601921812
60	0.6596744016
61	0.6591587298
62	0.6586493334
63	0.6581414732
64	0.6576301228
65	0.6571254851
66	0.6566201453
67	0.656110917
68	0.6556038505
69	0.6551012338
70	0.6546106641
71	0.6541139126
72	0.6536135138
73	0.6531336323
74	0.6526406077
75	0.6521504327
76	0.6516615931
77	0.651171444
78	0.6506835378
79	0.6501977311
80	0.649718526
81	0.6492365345
82	0.6487586172
83	0.6482689009
84	0.6477906431
85	0.6472989276
86	0.6468135702
87	0.6463412307
88	0.6458677267
89	0.6453807966
90	0.6449066816
91	0.6444366431
92	0.6439587238
93	0.6434952147
94	0.6430246847
95	0.6425649221
96	0.6421005136
97	0.6416286269
98	0.6411601023
99	0.6407033624
100	0.6402288113
101	0.6397642231
102	0.6393081978
103	0.6388404495
104	0.6383808536
105	0.6379341558
106	0.6374871117
107	0.6370246038
108	0.6365664843
109	0.6361126408
110	0.6356674965
111	0.6352127239
112	0.634760683
113	0.6343073578
114	0.6338623598
115	0.6334134281
116	0.6329653946
117	0.6325199889
118	0.6320813753
119	0.631641619
120	0.6311970264
121	0.6307581754
122	0.6303194258
123	0.6298777306
124	0.6294347034
125	0.6289930657
126	0.6285612834
127	0.6281239479
128	0.6276780935
129	0.6272525356
130	0.6268231601
131	0.6263917871
132	0.6259635281
133	0.6255185965
134	0.6250955465
135	0.6246672864
136	0.624247353
137	0.623827113
138	0.6233990028
139	0.6229815595
140	0.622556587
141	0.6221331528
142	0.6217038936
143	0.6212825683
144	0.6208640351
145	0.6204418147
146	0.6200207468
147	0.6196009267
148	0.6191941833
149	0.6187820646
150	0.6183612303
151	0.6179517682
152	0.6175392904
153	0.6171237836
154	0.6167110613
155	0.616298889
156	0.6158970238
157	0.6154974071
158	0.6150944452
159	0.6146888364
160	0.6142738309
161	0.6138680756
162	0.6134547784
163	0.613059703
164	0.6126567805
165	0.6122594721
166	0.6118576242
167	0.611463424
168	0.6110700906
169	0.6106718399
170	0.6102726557
171	0.6098766642
172	0.6094852754
173	0.6090940856
174	0.6087036353
175	0.6083083524
176	0.6079216547
177	0.6075252434
178	0.6071493698
179	0.6067647906
180	0.6063894278
181	0.6060050638
182	0.605621923
183	0.6052395219
184	0.6048471511
185	0.6044632036
186	0.6040835733
187	0.6037071918
188	0.6033259704
189	0.6029481611
190	0.6025626343
191	0.6021898028
192	0.6018083841
193	0.6014404197
194	0.6010764988
195	0.6006968305
196	0.6003201197
197	0.5999480531
198	0.5995816618
199	0.5992160738
200	0.5988593964
201	0.5984901195
202	0.5981352293
203	0.5977618902
204	0.5973960303
205	0.5970345057
206	0.5966736047
207	0.5963099988
208	0.5959421753
209	0.5955854711
210	0.5952310725
211	0.5948782223
212	0.5945159693
213	0.5941618523
214	0.5938035407
215	0.5934509031
216	0.5930992002
217	0.5927443211
218	0.592384049
219	0.5920386599
220	0.5916795806
221	0.5913228761
222	0.5909743572
223	0.5906235595
224	0.5902832727
225	0.5899374429
226	0.5895924819
227	0.5892480573
228	0.5889065232
229	0.5885559598
230	0.5882170052
231	0.5878701283
232	0.587538591
233	0.5872066748
234	0.5868752684
235	0.5865348827
236	0.5862019062
237	0.5858730717
238	0.5855361614
239	0.5852010721
240	0.5848689825
241	0.5845319402
242	0.5841938851
243	0.5838633621
244	0.5835294143
245	0.5831923292
246	0.5828594194
247	0.5825203281
248	0.5821851509
249	0.5818533309
250	0.581519408
251	0.581186524
252	0.5808657306
253	0.5805434245
254	0.5802144851
255	0.5798889579
256	0.5795543183
257	0.579243394
258	0.5789278819
259	0.578603187
260	0.5782879912
261	0.5779765136
262	0.5776604126
263	0.5773398558
264	0.5770237491
265	0.5767043679
266	0.5763778554
267	0.5760662334
268	0.5757552964
269	0.5754456474
270	0.5751393064
271	0.5748237765
272	0.5745155529
273	0.5742095394
274	0.5739047962
275	0.5735993073
276	0.5732859736
277	0.5729740689
278	0.5726680454
279	0.5723610555
280	0.5720626523
281	0.5717677394
282	0.571471069
283	0.5711598037
284	0.5708656802
285	0.5705581197
286	0.5702576366
287	0.5699620563
288	0.5696619322
289	0.5693608578
290	0.5690679628
291	0.5687617731
292	0.5684588006
293	0.5681604009
294	0.5678616487
295	0.5675724559
296	0.5672680136
297	0.5669805125
298	0.5666907152
299	0.5664032656
300	0.5661056017
301	0.5658076434
302	0.5655158187
303	0.5652255541
304	0.5649335442
305	0.5646505227
306	0.5643601617
307	0.5640698297
308	0.5637794839
309	0.5634922971
310	0.5632144658
311	0.562927018
312	0.5626423975
313	0.5623525355
314	0.5620688672
315	0.5617889042
316	0.5615168465
317	0.5612330347
318	0.5609551184
319	0.5606726037
320	0.5603980786
321	0.5601182212
322	0.559843354
323	0.5595608927
324	0.5592842688
325	0.5590098251
326	0.5587336383
327	0.5584614313
328	0.5581970136
329	0.5579259167
330	0.5576558516
331	0.5573784268
332	0.557112869
333	0.5568412248
334	0.5565779672
335	0.5563123235
336	0.5560494781
337	0.5557795087
338	0.5555179739
339	0.5552469415
340	0.554984
341	0.5547121221
342	0.5544442122
343	0.5541798402
344	0.5539165727
345	0.553655213
346	0.5533864055
347	0.5531278939
348	0.552876294
349	0.5526193808
350	0.552365015
351	0.5521019831
352	0.5518441362
353	0.551585307
354	0.5513179473
355	0.5510669481
356	0.5508133481
357	0.5505537082
358	0.5502960603
359	0.5500394633
360	0.5497881766
361	0.5495368613
362	0.5492822452
363	0.5490350185
364	0.5487835426
365	0.5485292978
366	0.5482808548
367	0.548031284
368	0.5477771604
369	0.5475355248
370	0.5472863539
371	0.5470295093
372	0.5467830604
373	0.5465408932
374	0.5462989674
375	0.5460576027
376	0.5458114819
377	0.5455704182
378	0.5453316381
379	0.5450868172
380	0.5448497794
381	0.5446127708
382	0.5443731523
383	0.5441330047
384	0.5438899878
385	0.5436392156
386	0.5433998966
387	0.5431594796
388	0.5429213353
389	0.5426897489
390	0.5424533293
391	0.5422186844
392	0.5419922339
393	0.5417618872
394	0.5415258341
395	0.5412899252
396	0.5410571673
397	0.5408249473
398	0.540590863
399	0.5403624861
400	0.5401346749
401	0.5399028837
402	0.5396769299
403	0.539451634
404	0.5392225225
405	0.5389892764
406	0.5387621713
407	0.5385410909
408	0.5383129531
409	0.5380872446
410	0.5378628098
411	0.5376375929
412	0.5374198259
413	0.5371949225
414	0.5369733294
415	0.5367448195
416	0.536521045
417	0.5363006374
418	0.5360768248
419	0.5358582049
420	0.5356423222
421	0.5354190366
422	0.5352036865
423	0.5349789741
424	0.5347594725
425	0.5345394092
426	0.5343172689
427	0.5340970256
428	0.5338769508
429	0.5336635443
430	0.5334426647
431	0.5332263353
432	0.5330087457
433	0.5327950877
434	0.5325774985
435	0.5323699228
436	0.5321614243
437	0.5319501263
438	0.5317401033
439	0.5315309316
440	0.5313254818
441	0.5311212805
442	0.5309129976
443	0.530701009
444	0.5304990613
445	0.5302983241
446	0.5300794966
447	0.5298744011
448	0.5296681421
449	0.5294693782
450	0.5292637345
451	0.5290534207
452	0.5288452592
453	0.5286415531
454	0.5284394039
455	0.5282418324
456	0.5280402733
457	0.5278386028
458	0.5276374276
459	0.5274247326
460	0.5272292327
461	0.5270363206
462	0.5268399789
463	0.5266351045
464	0.5264391733
465	0.5262395824
466	0.5260381739
467	0.5258375213
468	0.5256367634
469	0.5254427168
470	0.5252458727
471	0.5250461848
472	0.5248484368
473	0.5246573312
474	0.524467584
475	0.5242809655
476	0.5240889707
477	0.5238960458
478	0.5237076882
479	0.5235115969
480	0.523315262
481	0.5231256372
482	0.5229341417
483	0.5227475227
484	0.5225572803
485	0.5223686167
486	0.5221806649
487	0.5219948507
488	0.5218094838
489	0.5216189095
490	0.5214336059
491	0.5212402659
492	0.5210510171
493	0.5208605913
494	0.5206785726
495	0.5204913362
496	0.5203038838
497	0.5201269153
498	0.5199379688
499	0.5197620073
