iter	Passed	Remaining
0	166	83268
1	181	45176
2	197	32669
3	211	26216
4	224	22234
5	239	19691
6	254	17903
7	270	16632
8	286	15605
9	301	14750
10	316	14080
11	333	13556
12	348	13051
13	362	12595
14	378	12254
15	393	11905
16	408	11620
17	424	11362
18	440	11149
19	455	10925
20	472	10775
21	490	10665
22	510	10585
23	527	10456
24	544	10340
25	560	10212
26	575	10084
27	592	9986
28	608	9888
29	625	9802
30	641	9699
31	656	9596
32	671	9506
33	688	9431
34	703	9348
35	719	9276
36	735	9200
37	750	9119
38	765	9049
39	779	8969
40	793	8887
41	808	8821
42	825	8771
43	840	8711
44	854	8639
45	868	8571
46	883	8516
47	914	8611
48	929	8559
49	945	8506
50	959	8448
51	974	8396
52	987	8332
53	1003	8286
54	1020	8256
55	1036	8216
56	1049	8155
57	1063	8104
58	1078	8062
59	1093	8020
60	1108	7974
61	1121	7925
62	1137	7887
63	1151	7844
64	1166	7805
65	1181	7768
66	1196	7733
67	1214	7713
68	1229	7681
69	1245	7649
70	1260	7618
71	1276	7590
72	1292	7559
73	1308	7535
74	1324	7506
75	1341	7481
76	1357	7455
77	1372	7428
78	1387	7395
79	1403	7368
80	1418	7339
81	1433	7304
82	1448	7275
83	1464	7254
84	1479	7223
85	1493	7189
86	1508	7160
87	1525	7141
88	1541	7116
89	1557	7097
90	1574	7076
91	1590	7052
92	1606	7029
93	1622	7007
94	1636	6978
95	1653	6957
96	1667	6928
97	1682	6900
98	1697	6875
99	1711	6846
100	1726	6821
101	1741	6795
102	1759	6782
103	1775	6759
104	1791	6738
105	1806	6715
106	1823	6697
107	1840	6678
108	1854	6653
109	1870	6630
110	1886	6610
111	1901	6588
112	1916	6563
113	1930	6536
114	1944	6508
115	1957	6480
116	1973	6459
117	1989	6440
118	2004	6417
119	2019	6395
120	2036	6377
121	2051	6356
122	2066	6333
123	2082	6314
124	2097	6291
125	2113	6274
126	2129	6255
127	2144	6233
128	2160	6213
129	2176	6193
130	2189	6166
131	2202	6141
132	2218	6120
133	2232	6097
134	2246	6074
135	2261	6052
136	2275	6028
137	2288	6003
138	2303	5983
139	2319	5964
140	2333	5940
141	2346	5916
142	2360	5893
143	2375	5872
144	2389	5849
145	2402	5825
146	2415	5801
147	2430	5781
148	2444	5757
149	2458	5736
150	2472	5715
151	2489	5699
152	2503	5678
153	2519	5659
154	2536	5646
155	2552	5627
156	2568	5612
157	2583	5592
158	2599	5576
159	2616	5560
160	2635	5549
161	2649	5528
162	2664	5508
163	2680	5491
164	2698	5478
165	2713	5459
166	2727	5438
167	2742	5419
168	2757	5400
169	2772	5381
170	2788	5365
171	2803	5346
172	2817	5325
173	2831	5305
174	2846	5285
175	2860	5266
176	2876	5248
177	2890	5228
178	2904	5209
179	2920	5192
180	2934	5172
181	2949	5153
182	2962	5132
183	2976	5111
184	2992	5095
185	3007	5077
186	3022	5059
187	3036	5039
188	3050	5019
189	3064	4999
190	3078	4980
191	3094	4963
192	3109	4945
193	3123	4927
194	3139	4910
195	3154	4892
196	3169	4874
197	3183	4855
198	3198	4837
199	3213	4820
200	3227	4801
201	3242	4783
202	3255	4763
203	3271	4746
204	3286	4729
205	3300	4710
206	3315	4692
207	3330	4675
208	3345	4657
209	3359	4638
210	3372	4619
211	3387	4601
212	3402	4583
213	3416	4566
214	3431	4549
215	3445	4530
216	3459	4512
217	3475	4495
218	3490	4478
219	3508	4465
220	3524	4449
221	3540	4432
222	3554	4414
